Training Mode,Hidden Size,Batch Size,Epochs,Learning Rate,Test Accurancy
online,64,1,5,0.01,95.82
batch,64,60000,5,0.01,17.22
minibatch,64,16,5,0.01,96.69
minibatch,64,32,5,0.01,95.25
minibatch,64,64,5,0.01,93.95
online,128,1,5,0.01,96.76
batch,128,60000,5,0.01,20.66
minibatch,128,16,5,0.01,97.16
minibatch,128,32,5,0.01,95.92
minibatch,128,64,5,0.01,94.51
online,256,1,5,0.01,96.94
batch,256,60000,5,0.01,24.47
minibatch,256,16,5,0.01,97.38
minibatch,256,32,5,0.01,96.23
minibatch,256,64,5,0.01,94.62
online,64,1,15,0.01,96.41
batch,64,60000,15,0.01,28.60
minibatch,64,16,15,0.01,97.59
minibatch,64,32,15,0.01,97.19
minibatch,64,64,15,0.01,96.30
online,128,1,15,0.01,97.03
batch,128,60000,15,0.01,40.99
minibatch,128,16,15,0.01,97.82
minibatch,128,32,15,0.01,97.53
minibatch,128,64,15,0.01,96.85
online,256,1,15,0.01,97.44
batch,256,60000,15,0.01,47.71
minibatch,256,16,15,0.01,98.11
minibatch,256,32,15,0.01,97.75
minibatch,256,64,15,0.01,96.92
online,64,1,30,0.01,96.08
batch,64,60000,30,0.01,58.49
minibatch,64,16,30,0.01,97.45
minibatch,64,32,30,0.01,97.50
minibatch,64,64,30,0.01,97.14
online,128,1,30,0.01,96.91
batch,128,60000,30,0.01,65.69
minibatch,128,16,30,0.01,97.92
minibatch,128,32,30,0.01,97.91
minibatch,128,64,30,0.01,97.61
online,256,1,30,0.01,97.32
batch,256,60000,30,0.01,66.39
minibatch,256,16,30,0.01,98.09
minibatch,256,32,30,0.01,97.96
minibatch,256,64,30,0.01,97.59
